Depth (mbsf),GR,Vp,RES,RHOB
513.0952,71.54287,1667.604,0.30948,1.969237
512.9428,76.18578,1673.023,0.320824,1.969107
513.8572,71.61407,1655.831,0.392803,1.99218
162.88,86.89611,1549.503,0.458114,1.846918
514.0096,72.73511,1659.237,0.459769,1.991311
277.3324,84.93112,1550.109,0.467704,1.856417
162.7276,84.93112,1550.109,0.467704,1.856417
231.8212,87.80453,1568.104,0.472622,1.962653
302.1152,91.91797,1695.923,0.473456,1.836252
301.9628,91.08391,1695.371,0.474907,1.830189
301.8104,90.24986,1694.82,0.476362,1.824127
301.658,89.41579,1694.269,0.477821,1.818064
512.7904,77.23578,1678.061,0.479305,1.961311
302.2676,96.0099,1696.476,0.487681,1.836405
236.3932,89.40078,1580.996,0.492299,1.913019
242.4328,84.40244,1567.895,0.499686,1.95066
302.42,100.1018,1697.028,0.502333,1.836558
242.5852,84.86763,1567.538,0.502684,1.931886
417.388,85.33282,1567.434,0.505712,1.913112
242.7376,85.33282,1567.434,0.505712,1.913112
99.3856,97.87256,1577.899,0.513977,1.946331
302.5724,104.1938,1697.581,0.517426,1.836711
197.932,90.12157,1510.614,0.530158,1.615326
426.8368,77.55981,1576.855,0.54129,1.932866
198.0844,88.41811,1513.09,0.542211,1.609604
198.2368,88.49844,1510.16,0.5468,1.607606
51.7804,93.61446,1574.597,0.549093,1.806803
197.7796,84.9679,1498.365,0.551795,1.63472
163.0324,88.86109,1548.982,0.556747,1.837419
104.8156,90.54007,1523.798,0.559061,1.770284
198.3892,87.73047,1509.49,0.560723,1.59435
197.6272,81.66309,1489.226,0.562356,1.656265
58.3336,68.99275,1563.216,0.569644,1.551927
104.968,89.64819,1524.237,0.57008,1.768716
164.9176,91.80831,1608.482,0.570178,1.890138
118.588,77.32761,1518.551,0.57035,1.778761
278.704,89.24963,1526.949,0.572474,1.767797
166.8424,89.24963,1526.949,0.572474,1.767797
166.9948,90.66013,1528.167,0.573,1.771879
167.1472,92.07063,1529.332,0.573527,1.77596
278.8564,93.48112,1530.386,0.574056,1.780042
167.2996,93.48112,1530.386,0.574056,1.780042
197.4748,78.85195,1491.843,0.575227,1.695103
198.5416,87.91616,1508.221,0.578216,1.581951
279.3136,108.9148,1538.277,0.57881,1.818162
168.6712,108.9148,1538.277,0.57881,1.818162
51.9328,93.00624,1574.841,0.578957,1.799317
168.5188,107.8833,1537.796,0.579012,1.816467
168.3664,106.8518,1537.415,0.579214,1.814772
279.1612,105.8203,1536.926,0.579416,1.813077
168.214,105.8203,1536.926,0.579416,1.813077
168.0616,102.9986,1536.183,0.579619,1.807587
251.1196,87.0677,1587.628,0.579621,1.949272
251.272,85.25005,1589.372,0.580568,1.936294
58.486,68.3957,1560.227,0.580902,1.580493
58.6384,67.79539,1545.175,0.582246,1.671428
167.452,94.77245,1531.455,0.582681,1.785563
167.6044,96.06379,1532.648,0.583164,1.791085
279.0088,97.35513,1533.933,0.583648,1.796607
167.7568,97.35513,1533.933,0.583648,1.796607
167.9092,100.1769,1535.16,0.584133,1.802097
513.2476,70.35,1663.484,0.584661,1.96286
426.0748,79.09272,1525.277,0.592096,1.589611
420.1312,83.49017,1564.565,0.602057,1.875188
250.9672,83.49017,1564.565,0.602057,1.875188
194.122,37.64776,1582.019,0.60341,1.564043
250.8148,82.36158,1564.757,0.608314,1.892944
201.4372,91.20916,1530.894,0.609156,1.702006
40.5028,88.7777,1558.898,0.610477,1.654503
193.9696,31.84586,1556.271,0.611941,1.537813
302.7248,105.131,1698.134,0.612226,1.834815
40.6552,86.51737,1561.197,0.612715,1.623425
225.8212,65.78161,1561.371,0.61294,1.864282
266.0548,72.3173,1595.569,0.614524,1.829143
40.8076,88.18032,1551.519,0.614967,1.680017
231.0028,63.5245,1549.711,0.616176,1.116531
208.6,67.39217,1574.516,0.617441,1.830134
263.6164,64.58424,1575.78,0.617988,1.8644
168.8236,106.6895,1539.054,0.618525,1.820892
