Depth (mbsf),GR,RHOB,RES,Vp
513.0952,71.54287,1.969237,0.30948,1667.604
512.9428,76.18578,1.969107,0.320824,1673.023
513.8572,71.61407,1.99218,0.392803,1655.831
162.88,86.89611,1.846918,0.458114,1549.503
514.0096,72.73511,1.991311,0.459769,1659.237
277.3324,84.93112,1.856417,0.467704,1550.109
162.7276,84.93112,1.856417,0.467704,1550.109
231.8212,87.80453,1.962653,0.472622,1568.104
302.1152,91.91797,1.836252,0.473456,1695.923
301.9628,91.08391,1.830189,0.474907,1695.371
301.8104,90.24986,1.824127,0.476362,1694.82
301.658,89.41579,1.818064,0.477821,1694.269
512.7904,77.23578,1.961311,0.479305,1678.061
302.2676,96.0099,1.836405,0.487681,1696.476
236.3932,89.40078,1.913019,0.492299,1580.996
242.4328,84.40244,1.95066,0.499686,1567.895
302.42,100.1018,1.836558,0.502333,1697.028
242.5852,84.86763,1.931886,0.502684,1567.538
417.388,85.33282,1.913112,0.505712,1567.434
242.7376,85.33282,1.913112,0.505712,1567.434
99.3856,97.87256,1.946331,0.513977,1577.899
302.5724,104.1938,1.836711,0.517426,1697.581
197.932,90.12157,1.615326,0.530158,1510.614
426.8368,77.55981,1.932866,0.54129,1576.855
198.0844,88.41811,1.609604,0.542211,1513.09
198.2368,88.49844,1.607606,0.5468,1510.16
51.7804,93.61446,1.806803,0.549093,1574.597
197.7796,84.9679,1.63472,0.551795,1498.365
163.0324,88.86109,1.837419,0.556747,1548.982
104.8156,90.54007,1.770284,0.559061,1523.798
198.3892,87.73047,1.59435,0.560723,1509.49
197.6272,81.66309,1.656265,0.562356,1489.226
58.3336,68.99275,1.551927,0.569644,1563.216
104.968,89.64819,1.768716,0.57008,1524.237
164.9176,91.80831,1.890138,0.570178,1608.482
118.588,77.32761,1.778761,0.57035,1518.551
278.704,89.24963,1.767797,0.572474,1526.949
166.8424,89.24963,1.767797,0.572474,1526.949
166.9948,90.66013,1.771879,0.573,1528.167
167.1472,92.07063,1.77596,0.573527,1529.332
278.8564,93.48112,1.780042,0.574056,1530.386
167.2996,93.48112,1.780042,0.574056,1530.386
197.4748,78.85195,1.695103,0.575227,1491.843
198.5416,87.91616,1.581951,0.578216,1508.221
279.3136,108.9148,1.818162,0.57881,1538.277
168.6712,108.9148,1.818162,0.57881,1538.277
51.9328,93.00624,1.799317,0.578957,1574.841
168.5188,107.8833,1.816467,0.579012,1537.796
168.3664,106.8518,1.814772,0.579214,1537.415
279.1612,105.8203,1.813077,0.579416,1536.926
168.214,105.8203,1.813077,0.579416,1536.926
168.0616,102.9986,1.807587,0.579619,1536.183
251.1196,87.0677,1.949272,0.579621,1587.628
251.272,85.25005,1.936294,0.580568,1589.372
58.486,68.3957,1.580493,0.580902,1560.227
58.6384,67.79539,1.671428,0.582246,1545.175
167.452,94.77245,1.785563,0.582681,1531.455
167.6044,96.06379,1.791085,0.583164,1532.648
279.0088,97.35513,1.796607,0.583648,1533.933
167.7568,97.35513,1.796607,0.583648,1533.933
167.9092,100.1769,1.802097,0.584133,1535.16
513.2476,70.35,1.96286,0.584661,1663.484
426.0748,79.09272,1.589611,0.592096,1525.277
420.1312,83.49017,1.875188,0.602057,1564.565
250.9672,83.49017,1.875188,0.602057,1564.565
194.122,37.64776,1.564043,0.60341,1582.019
250.8148,82.36158,1.892944,0.608314,1564.757
201.4372,91.20916,1.702006,0.609156,1530.894
40.5028,88.7777,1.654503,0.610477,1558.898
193.9696,31.84586,1.537813,0.611941,1556.271
302.7248,105.131,1.834815,0.612226,1698.134
40.6552,86.51737,1.623425,0.612715,1561.197
225.8212,65.78161,1.864282,0.61294,1561.371
266.0548,72.3173,1.829143,0.614524,1595.569
40.8076,88.18032,1.680017,0.614967,1551.519
231.0028,63.5245,1.116531,0.616176,1549.711
208.6,67.39217,1.830134,0.617441,1574.516
263.6164,64.58424,1.8644,0.617988,1575.78
168.8236,106.6895,1.820892,0.618525,1539.054
266.2072,74.82432,1.830449,0.618748,1596.23
168.976,104.4641,1.823622,0.61915,1540.167
198.694,89.84377,1.569362,0.619347,1506.438
263.464,64.95612,1.853971,0.619484,1576.218
279.466,102.2388,1.826352,0.619775,1541.462
169.1284,102.2388,1.826352,0.619775,1541.462
413.4256,59.65552,1.116237,0.620115,1549.503
230.8504,59.65552,1.116237,0.620115,1549.503
169.2808,100.1191,1.828341,0.620401,1542.697
266.9692,79.97593,1.922723,0.620548,1602.689
266.8168,79.93007,1.892836,0.62057,1601.359
266.6644,79.88422,1.862949,0.620592,1599.942
266.512,79.83836,1.833062,0.620614,1598.531
266.3596,77.33134,1.831756,0.620636,1597.245
301.5056,88.10612,1.820788,0.620795,1693.719
267.274,78.2552,1.927273,0.620969,1604.652
263.3116,65.328,1.843543,0.620987,1574.541
424.246,77.39484,1.929547,0.621018,1605.155
267.4264,77.39484,1.929547,0.621018,1605.155
267.5788,75.48331,1.933715,0.621066,1605.398
267.7312,73.57178,1.937882,0.621115,1605.492
169.4332,97.99935,1.830329,0.62125,1543.713
279.6184,95.87961,1.832318,0.621367,1544.481
169.5856,95.87961,1.832318,0.621367,1544.481
267.1216,79.11557,1.924998,0.621394,1603.821
169.738,93.81403,1.83535,0.621484,1545.013
169.8904,91.74845,1.838382,0.621602,1545.29
279.7708,89.68287,1.841414,0.621719,1545.304
170.0428,89.68287,1.841414,0.621719,1545.304
263.7688,64.21235,1.874828,0.621733,1573.723
197.3224,82.89794,1.718666,0.62175,1501.655
170.1952,93.36214,1.845545,0.621836,1545.104
263.1592,67.17052,1.840952,0.622495,1571.073
263.9212,65.30479,1.86953,0.622568,1571.106
251.1196,82.23009,1.869595,0.623397,1564.695
264.0736,66.39722,1.864232,0.623405,1569.26
170.3476,97.04143,1.849676,0.623842,1544.8
265.9024,70.71005,1.81951,0.623951,1595.225
230.698,59.76952,1.12029,0.624091,1546.48
198.9988,94.16894,1.603713,0.624469,1509.571
265.2928,68.50565,1.839593,0.624754,1594.687
435.5236,75.9069,1.773955,0.62641,1519.623
58.1812,66.17761,1.546435,0.626577,1559.404
62.296,81.25722,1.848632,0.627007,1566.163
265.4452,68.0006,1.819918,0.627225,1594.958
59.8576,77.89111,1.638158,0.62725,1564.43
198.8464,93.85705,1.585273,0.627273,1504.681
279.9232,100.7207,1.853807,0.627967,1544.492
170.5,100.7207,1.853807,0.627967,1544.492
197.17,85.3437,1.731284,0.628456,1504.129
214.9048,86.03291,1.91697,0.628669,1577.157
194.2744,39.99533,1.580985,0.629898,1607.028
302.7832,88.15096,1.812566,0.630778,1557.217
239.08,88.15096,1.812566,0.630778,1557.217
208.9048,85.33869,1.73913,0.631056,1528.882
231.9172,95.3001,1.745072,0.631076,1531.716
57.2668,53.99143,1.543837,0.632097,1564.12
209.5144,85.30062,1.684167,0.632184,1512.785
199.1512,88.27996,1.628815,0.633535,1518.79
42.1792,80.1877,1.974573,0.636789,1561.362
200.98,86.26544,1.70927,0.63714,1520.784
193.8172,26.8981,1.514349,0.637263,1532.076
209.362,86.40874,1.690724,0.637399,1512.639
265.75,69.10281,1.809876,0.638213,1595.084
251.272,80.97002,1.864002,0.638305,1565.066
220.6396,92.28342,1.749403,0.639479,1569.398
201.2848,85.90125,1.735918,0.640182,1526.93
258.13,88.75631,1.767148,0.640249,1524.826
105.1204,88.75631,1.767148,0.640249,1524.826
420.2836,79.70995,1.85841,0.640811,1565.384
251.4244,79.70995,1.85841,0.640811,1565.384
105.2728,87.89159,1.7726,0.640826,1525.548
199.3036,86.98832,1.644909,0.640848,1520.849
200.8276,88.67084,1.689031,0.641028,1520.452
