GR,RHOB,A16L,A40L,P16H,P28H,P40H,Vp
63.75,1.871408,1.053496,1.099713,1.038809,1.041539,1.044208,1534.72
62.84999,1.872797,1.052793,1.100788,1.038092,1.041369,1.044788,1534.794
61.95,1.874187,1.052091,1.101865,1.037376,1.041199,1.045368,1534.795
62.09999,1.875949,1.055074,1.102774,1.037964,1.042148,1.044816,1534.742
62.25,1.877711,1.058065,1.103684,1.038552,1.043097,1.044264,1534.677
62.39999,1.879474,1.061064,1.104595,1.03914,1.044047,1.043713,1534.66
63.64786,1.884754,1.060588,1.103577,1.041256,1.045804,1.047024,1534.774
64.89572,1.890035,1.060112,1.10256,1.043377,1.047564,1.050346,1535.101
66.14359,1.895315,1.059637,1.101543,1.045502,1.049327,1.053679,1535.649
65.79359,1.898155,1.060329,1.103392,1.043656,1.048734,1.053756,1536.297
65.44359,1.900996,1.061023,1.105243,1.041813,1.048141,1.053832,1536.859
65.09359,1.903836,1.061716,1.107098,1.039973,1.047549,1.053909,1537.229
64.54151,1.901364,1.062486,1.108913,1.043741,1.050906,1.056906,1537.436
63.98944,1.898891,1.063256,1.110732,1.047523,1.054274,1.059912,1537.564
63.43736,1.896418,1.064027,1.112553,1.051318,1.057652,1.062926,1537.665
63.03841,1.891321,1.066171,1.112544,1.049003,1.054726,1.060288,1537.757
62.63946,1.886223,1.06832,1.112534,1.046693,1.051807,1.057656,1537.839
62.24051,1.881125,1.070474,1.112525,1.044388,1.048897,1.05503,1537.912
63.08832,1.876323,1.070207,1.113188,1.046409,1.051495,1.057175,1537.976
63.93613,1.871521,1.069941,1.113852,1.048434,1.054101,1.059324,1538.042
64.78394,1.866719,1.069675,1.114516,1.050463,1.056712,1.061477,1538.133
65.33496,1.870884,1.069639,1.111644,1.050102,1.055335,1.060681,1538.28
65.88599,1.875049,1.069603,1.108779,1.04974,1.05396,1.059886,1538.515
66.437,1.879215,1.069566,1.105922,1.049379,1.052586,1.059092,1538.858
66.88809,1.875423,1.071316,1.109887,1.051269,1.055661,1.063017,1539.247
67.33917,1.871632,1.073069,1.113867,1.053163,1.058745,1.066957,1539.563
67.79026,1.867841,1.074825,1.117861,1.05506,1.061839,1.070911,1539.709
67.75495,1.873585,1.074849,1.120582,1.054811,1.062452,1.070693,1539.658
67.71964,1.87933,1.074873,1.123309,1.054561,1.063066,1.070475,1539.423
67.68433,1.885074,1.074898,1.126043,1.054312,1.063681,1.070256,1539.062
67.75937,1.886152,1.075848,1.126304,1.052802,1.060613,1.067523,1538.696
67.83442,1.887228,1.0768,1.126565,1.051294,1.057554,1.064798,1538.481
67.90946,1.888306,1.077752,1.126826,1.049789,1.054504,1.062079,1538.504
68.30946,1.891365,1.073534,1.127802,1.049708,1.054841,1.061567,1538.731
68.70946,1.894425,1.069332,1.128779,1.049628,1.055178,1.061056,1539.039
69.10946,1.897485,1.065146,1.129756,1.049547,1.055515,1.060545,1539.266
69.69629,1.887924,1.068201,1.12863,1.04988,1.055962,1.061852,1539.269
70.28311,1.878363,1.071264,1.127504,1.050213,1.056409,1.06316,1538.968
70.86994,1.868802,1.074336,1.12638,1.050547,1.056856,1.06447,1538.4
70.66994,1.865566,1.075959,1.126657,1.049425,1.056892,1.063243,1537.733
70.46993,1.862329,1.077584,1.126934,1.048305,1.056928,1.062018,1537.201
70.26993,1.859093,1.079212,1.127211,1.047186,1.056965,1.060794,1536.998
69.89079,1.859637,1.081551,1.128515,1.046669,1.054607,1.059549,1537.197
69.51165,1.860182,1.083895,1.12982,1.046152,1.052254,1.058307,1537.725
69.13251,1.860726,1.086244,1.131127,1.045636,1.049907,1.057066,1538.395
68.04984,1.867956,1.087542,1.132123,1.04651,1.050826,1.057467,1538.992
66.96719,1.875186,1.088841,1.133121,1.047386,1.051746,1.057868,1539.405
65.88452,1.882416,1.090142,1.134119,1.048261,1.052666,1.05827,1539.666
65.43554,1.881308,1.089155,1.131028,1.048667,1.053536,1.058722,1539.871
64.98656,1.8802,1.088169,1.127945,1.049072,1.054407,1.059174,1540.05
64.53758,1.879092,1.087184,1.124871,1.049478,1.055278,1.059627,1540.133
64.61672,1.884937,1.090329,1.128168,1.057183,1.062841,1.066385,1540.022
64.69586,1.890782,1.093483,1.131475,1.064944,1.070459,1.073187,1539.655
64.775,1.896627,1.096647,1.134792,1.072762,1.078131,1.080032,1539.058
64.45636,1.893894,1.095966,1.139807,1.07664,1.081836,1.085641,1538.369
64.13772,1.891161,1.095286,1.144843,1.080531,1.085554,1.091279,1537.783
63.81908,1.888428,1.094607,1.149902,1.084438,1.089285,1.096946,1537.435
63.46907,1.889169,1.096825,1.148432,1.082749,1.087368,1.094682,1537.333
63.11908,1.889911,1.099048,1.146965,1.081064,1.085455,1.092423,1537.399
62.76907,1.890652,1.101276,1.145499,1.079381,1.083546,1.090168,1537.529
61.61907,1.884886,1.100997,1.143812,1.077897,1.082369,1.087783,1537.627
60.46907,1.87912,1.100718,1.142127,1.076414,1.081193,1.085403,1537.641
59.31907,1.873353,1.10044,1.140445,1.074934,1.080019,1.083028,1537.588
59.24605,1.870961,1.103326,1.141992,1.074458,1.080709,1.084846,1537.557
59.17302,1.868569,1.10622,1.143541,1.073982,1.0814,1.086666,1537.63
59.09999,1.866177,1.109122,1.145092,1.073507,1.082091,1.08849,1537.798
59.57499,1.863805,1.105635,1.146127,1.074638,1.082743,1.089298,1538.014
60.05,1.861432,1.102159,1.147162,1.075771,1.083395,1.090107,1538.283
60.52499,1.859059,1.098694,1.148198,1.076905,1.084048,1.090917,1538.632
60.69104,1.855695,1.098257,1.146523,1.069305,1.074964,1.080879,1539.02
60.85708,1.85233,1.09782,1.144849,1.061759,1.065956,1.070933,1539.342
61.02312,1.848966,1.097383,1.143178,1.054266,1.057024,1.061079,1539.527
61.59712,1.853906,1.096741,1.145337,1.061218,1.064391,1.069066,1539.585
62.17112,1.858846,1.096099,1.147499,1.068216,1.071809,1.077114,1539.574
62.74512,1.863786,1.095457,1.149666,1.07526,1.079279,1.085222,1539.549
62.49512,1.865806,1.095751,1.147623,1.072929,1.077764,1.083012,1539.565
62.24512,1.867825,1.096044,1.145584,1.070602,1.07625,1.080805,1539.688
61.99512,1.869844,1.096338,1.143548,1.068281,1.074739,1.078604,1539.969
62.00314,1.872741,1.095739,1.143424,1.064229,1.070145,1.074174,1540.401
62.01117,1.875639,1.095141,1.1433,1.060192,1.06557,1.069763,1540.908
62.01919,1.878536,1.094543,1.143176,1.056171,1.061014,1.06537,1541.365
62.41799,1.875868,1.095437,1.143352,1.056536,1.060697,1.064377,1541.659
62.81679,1.8732,1.096332,1.143528,1.056901,1.06038,1.063385,1541.75
63.21559,1.870531,1.097227,1.143705,1.057266,1.060063,1.062394,1541.672
63.66559,1.87156,1.096964,1.14247,1.059124,1.062129,1.064826,1541.47
64.11559,1.872588,1.096701,1.141237,1.060985,1.0642,1.067264,1541.147
64.56559,1.873616,1.096438,1.140005,1.06285,1.066275,1.069708,1540.682
64.39153,1.871533,1.097279,1.142053,1.068519,1.072438,1.076871,1540.12
64.21746,1.869449,1.09812,1.144104,1.074218,1.078637,1.084083,1539.591
64.0434,1.867365,1.098963,1.146159,1.079948,1.084872,1.091342,1539.189
62.7956,1.866409,1.099986,1.144695,1.080579,1.08618,1.092785,1538.882
61.5478,1.865454,1.101009,1.143233,1.08121,1.087489,1.09423,1538.579
