GR,Vp,RES,RHOB
72.58944,1888.399,2.0374,2.072743
73.83058,1883.441,2.014566,2.075957
76.12827,1876.549,1.999525,2.045503
73.6195,1880.824,1.99751,2.032547
70.98288,1884.01,1.966763,2.035791
68.133,1882.693,1.81158,2.060265
68.77051,1875.663,1.775197,2.068463
70.17072,1866.106,1.757165,2.064341
70.12109,1862.16,1.736635,2.058492
72.59609,1865.285,1.713605,2.057069
73.9446,1876.348,1.706427,2.059659
77.77142,1891.11,1.744578,2.065253
76.79642,1900.183,1.821604,2.06476
75.94755,1902.522,1.766777,2.061746
75.03988,1900.118,1.834606,2.057868
75.86488,1897.42,1.917316,2.062191
75.81733,1887.195,1.884995,2.065997
71.4,1858.358,1.826693,2.07234
66.89999,1828.528,1.780154,2.081201
67.94999,1806.411,1.749197,2.066919
69.22147,1790.616,1.768219,2.056534
77.46319,1790.805,1.794782,2.036363
73.86318,1803.077,1.86912,2.053143
72.51358,1816.002,1.888568,2.074794
65.77187,1827.746,1.871844,2.087682
67.11523,1840.48,1.810163,2.102448
68.24336,1859.349,1.867462,2.094579
69.89336,1870.406,1.954602,2.093552
71.83636,1882.771,1.906432,2.091305
74.45447,1890.592,1.833212,2.093981
72.95447,1893.456,1.988676,2.099418
72.29311,1895.088,1.914249,2.094076
70.71851,1902.228,1.976081,2.094106
72.81165,1910.158,2.042873,2.100569
72.51165,1912.247,2.005573,2.10502
74.91813,1909.613,1.979653,2.096537
73.725,1902.864,1.915164,2.08105
74.1,1893.236,2.037185,2.069092
69.3,1895.887,1.934757,2.067805
69.6,1905.439,1.998285,2.075315
67.05,1917.063,1.935454,2.079304
68.25,1921.698,1.990404,2.085253
70.64999,1919.561,2.04664,2.084716
73.35,1913.372,2.03376,2.090863
75.75,1905.617,2.04752,2.091467
71.0217,1900.305,2.034265,2.094056
66.81573,1896.38,2.00044,2.091202
65.0091,1893.07,2.009276,2.100084
67.1874,1884.934,1.999303,2.103347
70.79336,1879.063,1.992378,2.112515
70.425,1879.836,1.986992,2.116541
70.26814,1886.592,2.035927,2.123516
71.91086,1893.219,2.010628,2.124335
71.01086,1891.515,1.952048,2.128597
69.06135,1891.125,1.90395,2.126412
65.31863,1891.469,1.835635,2.124068
65.38729,1899.839,1.834649,2.112668
67.64366,1907.468,1.936868,2.103883
66.29366,1911.631,2.028772,2.08591
67.8,1919.25,2.03353,2.079016
66.75,1922.245,2.048758,2.074251
68.69999,1921.422,2.07523,2.082386
66.075,1920.36,2.053233,2.087733
62.925,1914.332,2.033354,2.104197
62.175,1905.223,2.009208,2.1156
63.3,1887.705,2.005422,2.124941
63.14384,1871.662,2.011929,2.122832
63.06885,1873.619,2.004353,2.120504
62.61885,1887.844,2.024458,2.119391
62.325,1900.073,2.018792,2.107192
65.25,1906.125,2.008806,2.115322
68.1,1906.337,1.910771,2.111184
71.85,1898.505,1.812304,2.107484
70.1937,1890.125,1.776163,2.085327
67.48774,1884.216,1.732609,2.077314
69.80222,1880.31,1.782865,2.079058
69.35852,1878.773,1.743987,2.067722
77.30624,1880.31,1.720779,2.055314
75.51327,1883.756,1.716427,2.054543
74.00715,1885.962,1.709514,2.058794
69.88699,1887.839,1.689029,2.056503
67.25311,1887.755,1.688543,2.032241
72.50564,1891.274,1.708135,2.021256
74.38404,1887.925,1.716309,2.018465
73.94034,1882.571,1.696648,2.023038
71.46564,1879.075,1.680233,2.024896
68.16564,1878.591,1.680842,2.023667
68.99672,1875.859,1.683261,2.022813
72.66727,1870.386,1.676731,2.021041
70.86727,1866.792,1.657213,2.027372
73.1854,1867.121,1.643324,2.025302
71.16813,1869.231,1.64807,2.033484
70.86813,1870.572,1.662103,2.032691
74.175,1873.972,1.70032,2.037478
71.55,1875.081,1.69726,2.03735
75.975,1870.411,1.690492,2.037637
73.57499,1861.371,1.70033,2.044705
73.11855,1850.729,1.686399,2.047674
70.26229,1843.805,1.673794,2.054512
70.11228,1842.318,1.660468,2.051268
71.61874,1842.532,1.649268,2.04931
70.27499,1844.678,1.672179,2.05564
71.625,1849.768,1.707326,2.079942
70.575,1858.611,1.740678,2.093005
74.24283,1856.904,1.762994,2.098924
75.74283,1851.97,1.723619,2.093214
79.49283,1855.922,1.724342,2.099738
77.32177,1872.068,1.781613,2.105183
75.50776,1887.554,1.802236,2.106588
76.55029,1909.987,1.799159,2.086717
79.02853,1927.741,1.79626,2.085661
79.33936,1932.602,1.818043,2.076431
76.34683,1928.986,1.813678,2.094373
76.63967,1918.151,1.827173,2.087286
77.38556,1909.759,1.838615,2.095994
79.03555,1909.941,1.84635,2.101493
79.18552,1921.606,1.84343,2.113199
78.29279,1929.715,1.823875,2.110397
77.0178,1925.12,1.79684,2.109506
76.425,1909.965,1.783212,2.120297
75.52499,1896.886,1.79988,2.123199
75.375,1889.159,1.798416,2.105121
75.975,1878.24,1.782589,2.080407
73.425,1866.6,1.778798,2.064701
74.39629,1875.73,1.800938,2.068024
74.38909,1892.163,1.825003,2.066965
72.13908,1899.14,1.836929,2.069177
72.7428,1903.377,1.843419,2.068551
69.9,1905.974,1.848014,2.074883
72.52175,1903.06,1.831517,2.097919
69.22175,1897.237,1.817971,2.107732
69.67175,1888.911,1.803236,2.1106
71.1,1884.387,1.779664,2.08552
74.025,1881.739,1.773534,2.079944
73.64668,1873.968,1.781019,2.086367
71.74245,1869.377,1.804058,2.089212
70.96507,1868.977,1.808271,2.088271
74.11079,1872.005,1.80183,2.084316
75.19003,1873.161,1.799134,2.093514
72.9641,1865.977,1.792106,2.098679
70.19669,1861.37,1.797683,2.091704
71.47169,1855.277,1.804239,2.087589
73.8,1848.071,1.790124,2.091073
76.34246,1841.646,1.792758,2.094254
79.64246,1839.195,1.768592,2.100012
79.11746,1843.016,1.746157,2.089934
76.86802,1851.767,1.78488,2.095112
72.66802,1865.232,1.846032,2.100952
73.03586,1879.96,1.884682,2.107485
68.68695,1891.281,1.912553,2.102482
68.23695,1895.298,1.917536,2.110432
70.94411,1896.618,1.895013,2.124573
74.25,1898.799,1.872743,2.129791
74.55,1898.787,1.834896,2.126284
69,1895.405,1.817516,2.122729
70.34651,1893.136,1.821601,2.112246
71.08953,1893.676,1.854401,2.107583
75.432,1902.008,1.886224,2.106873
72.21048,1912.217,1.896187,2.126797
72.36746,1921.96,1.980462,2.119333
70.27499,1924.735,1.927619,2.119522
74.02143,1919.061,1.821981,2.112639
74.62144,1900.145,1.712741,2.117471
76.72144,1871.635,1.695081,2.098875
74.55,1834.551,1.699376,2.080269
81.44183,1985.572,2.371778,2.113462
78.15,1986.681,2.291296,2.102363
75,1991.73,2.296504,2.081333
76.35,1996.611,2.322975,2.08788
75.89276,1991.077,2.293825,2.104822
78.43499,1980.548,2.303268,2.124043
78.88499,1975.652,2.352662,2.121899
77.83496,1972.314,2.312539,2.129056
76.33503,1971.824,2.26123,2.137803
71.38503,1971.642,2.161591,2.115436
73.34231,1982.982,2.196867,2.096634
72.3,1995.002,2.196268,2.093055
71.24999,2022.172,2.18695,2.115636
69.14999,2050.073,2.212575,2.119145
69.89629,2058.508,2.173392,2.118926
76.2713,2041.769,2.22677,2.120154
79.5713,2019.523,2.325512,2.120337
82.27096,2008.424,2.371763,2.105513
81.59595,1991.628,2.395374,2.08464
79.64597,1963.656,2.40135,2.069551
78.36763,1944.067,2.365827,2.072325
81.81763,1949.857,2.338841,2.080649
86.46763,1979.821,2.337415,2.101028
84.52121,1992.929,2.274854,2.094912
81.96363,1980.791,2.083071,2.098019
74.83514,1947.16,2.022763,2.087111
81.81393,1913.744,2.038088,2.097934
80.31776,1900.88,1.845649,2.102434
82.45991,1901.446,1.817276,2.098675
71.65337,1926.731,1.948741,2.093811
71.64993,1939.927,1.992408,2.09902
70.03628,1933.045,1.955699,2.093292
77.53729,1906.39,1.879204,2.082985
79.04449,1895.081,1.768853,2.073286
82.64449,1886.929,1.78667,2.083128
81.14585,1891.893,1.764603,2.09907
72.74585,1919.059,1.80349,2.097953
70.49203,1932.243,1.835558,2.08548
70.4172,1917.752,1.851989,2.091284
75.96719,1900.783,1.861995,2.087512
75.82102,1892.938,1.900504,2.101982
76.57499,1882.702,1.942942,2.087821
78.51735,1869.452,1.884364,2.089084
81.06735,1855.542,1.653103,2.080211
82.49236,1861.066,1.689482,2.083297
81.44291,1879.641,1.714267,2.08952
77.99291,1894.94,1.890365,2.086979
73.34291,1903.817,1.925084,2.083316
73.05,1913.299,1.855911,2.084125
76.8,1921.903,1.826441,2.098214
79.18463,1935.724,1.765221,2.107564
81.12713,1948.046,1.813518,2.109369
79.91962,1953.99,1.87323,2.090266
79.185,1965.314,1.880658,2.072151
81.5925,1975.393,1.840324,2.069063
79.19999,1976.557,1.815702,2.065475
80.25,1976.428,1.791664,2.063101
82.34167,1971.972,1.835575,2.042518
86.24168,1955.969,1.837304,2.042132
83.38815,1933.84,1.851845,2.033794
80.3886,1927.3,1.818585,2.031909
83.52993,1931.029,1.875819,2.028356
81.12701,1954.726,1.838678,2.03874
82.78488,1969.315,1.791918,2.06291
77.5362,1971.055,1.831063,2.09557
