Depth (mbsf),GR,RHOB,A16L,A40L,P16H,P28H,P40H,Vp
141.6964,76.36802,1.967152,0.396551,0.494658,0.370644,0.323114,0.297752,1674.19
142.7632,72.572,1.991299,0.594581,0.637411,0.37289,0.418912,0.447271,1658.386
117.4648,70.09113,1.975075,0.217024,0.317659,0.465361,0.430375,0.386358,1574.144
114.874,78.50739,1.977095,0.448722,0.627394,0.465589,0.456956,0.489521,1560.651
99.8428,92.25559,1.928517,0.460889,0.672701,0.51197,0.529848,0.530704,1587.57
114.7216,80.33869,1.9693,0.500328,0.735685,0.517321,0.517915,0.51785,1562.116
142.9156,77.77937,1.981349,0.657354,0.666265,0.523217,0.569688,0.617045,1659.487
141.8488,72.68797,1.969092,0.392904,0.455788,0.536672,0.510943,0.384971,1668.889
99.9952,92.25781,1.918652,0.536918,0.665352,0.563717,0.558829,0.552105,1588.24
297.701,91.15,1.907069,1.13817,1.326415,0.582525,0.549871,0.534042,1592.22
236.698,91.15,1.907069,1.13817,1.326415,0.582525,0.549871,0.534042,1592.22
151.5064,87.76399,1.620238,1.078705,1.124991,0.595295,0.629534,0.647579,1489.797
142.6108,72.04993,1.990977,0.558207,0.616382,0.598102,0.647303,0.641939,1655.61
151.6588,91.79415,1.566767,1.074658,1.131562,0.603523,0.639156,0.664547,1490.989
163.0888,81.33042,1.813325,0.804727,0.846519,0.603745,0.62927,0.64295,1527.624
61.7428,89.01761,1.790758,0.746976,0.973131,0.603926,0.593081,0.561187,1533.862
164.0032,89.95193,1.893387,1.244931,1.79346,0.62013,0.642748,0.632014,1588.217
120.0556,75.16595,1.9634,0.647459,0.811531,0.630424,0.623972,0.589518,1578.039
296.898,94.46045,1.584256,0.666381,0.682787,0.631075,0.632837,0.633809,1498.691
296.7456,97.9696,1.58515,0.664958,0.680028,0.631187,0.635088,0.634453,1500.047
301.3176,89.62817,1.544447,0.669601,0.692568,0.633196,0.635452,0.638601,1487.431
292.9356,85.61707,1.507086,0.668343,0.681788,0.634158,0.636158,0.638249,1520.366
300.8604,82.80053,1.543586,0.668685,0.695075,0.635834,0.637671,0.635267,1472.575
292.1736,79.70891,1.571744,0.670373,0.690002,0.63711,0.635956,0.636876,1492.909
297.0504,92.44029,1.568401,0.666458,0.683803,0.637263,0.635457,0.633995,1482.872
301.0128,86.02808,1.52451,0.67152,0.690499,0.638353,0.642629,0.640645,1472.146
300.708,87.63857,1.562097,0.668212,0.68794,0.639319,0.6417,0.643204,1475.983
297.2028,97.00081,1.552686,0.669261,0.683385,0.639638,0.638434,0.642348,1462.372
298.7268,86.24954,1.560701,0.669079,0.691226,0.640489,0.641843,0.643492,1507.639
296.4408,94.83686,1.589209,0.668023,0.680177,0.6405,0.639816,0.638141,1520.42
163.2412,84.83081,1.805143,0.812862,0.834735,0.640787,0.672967,0.699205,1527.974
296.5932,90.22752,1.586353,0.665871,0.686145,0.641962,0.641741,0.637226,1504.36
292.0212,75.93696,1.615089,0.671783,0.689185,0.64224,0.643987,0.638474,1510.236
301.1652,88.05393,1.513495,0.669822,0.695562,0.642869,0.648779,0.651884,1478.485
293.088,88.07091,1.528017,0.667732,0.693486,0.643485,0.644042,0.645968,1498.561
292.6308,84.79624,1.487757,0.668092,0.686942,0.644324,0.64541,0.646804,1546.121
292.7832,82.11575,1.491022,0.665848,0.681207,0.644838,0.648996,0.647659,1554.578
294.1548,97.34621,1.632115,0.685125,0.708842,0.645315,0.646938,0.647698,1551.699
298.8792,88.01737,1.558777,0.669653,0.694749,0.645464,0.645367,0.651988,1502.782
289.278,85.80201,1.524055,0.67673,0.702428,0.645746,0.647125,0.649842,1540.146
289.4304,84.95255,1.515835,0.676158,0.699907,0.645853,0.647923,0.65102,1540.676
289.1256,83.34554,1.537013,0.67747,0.698084,0.646569,0.648114,0.648905,1541.568
301.47,86.2013,1.538521,0.675514,0.690054,0.646704,0.645559,0.650533,1496.115
292.326,76.19993,1.530422,0.66926,0.690476,0.647006,0.647137,0.651497,1493.594
294.3072,93.45848,1.630278,0.68643,0.711609,0.648405,0.650472,0.65175,1550.118
299.0316,87.81085,1.555594,0.671121,0.685259,0.648704,0.649397,0.651698,1498.052
295.374,91.39578,1.579354,0.686239,0.690452,0.649046,0.652425,0.653627,1556.613
296.2884,96.9393,1.587986,0.669616,0.692175,0.649235,0.646076,0.643667,1535.156
295.5264,93.75176,1.573894,0.684706,0.70585,0.649704,0.650112,0.650249,1560.096
298.5744,76.28065,1.565381,0.669655,0.691311,0.649997,0.651441,0.652914,1512.319
288.9732,83.95351,1.560802,0.675153,0.701061,0.650496,0.652074,0.651788,1543.723
290.9544,99.1279,1.62464,0.684832,0.698183,0.65109,0.655663,0.657677,1612.339
291.1068,91.92766,1.606477,0.683182,0.705341,0.651276,0.655517,0.656097,1611.471
295.0692,91.06654,1.575988,0.686026,0.712402,0.65141,0.654048,0.654141,1560.155
291.2592,92.8482,1.600414,0.683252,0.704991,0.65152,0.651913,0.651288,1607.137
294.4596,89.20208,1.627215,0.688327,0.703857,0.652172,0.654716,0.659652,1556.438
291.8688,96.38174,1.652797,0.674235,0.683374,0.652382,0.6577,0.65481,1549.89
295.2216,91.5897,1.578086,0.687358,0.69737,0.652401,0.653417,0.653088,1555.098
294.9168,92.48301,1.56713,0.683806,0.703256,0.652536,0.655498,0.655275,1568.192
294.7644,91.10368,1.580018,0.687251,0.710584,0.652574,0.65675,0.664398,1570.297
300.5556,95.48495,1.572024,0.674145,0.685129,0.652644,0.653339,0.657031,1477.676
294.612,91.77294,1.610093,0.689388,0.709348,0.65282,0.658095,0.663204,1564.83
291.564,94.94849,1.630766,0.685658,0.69907,0.653148,0.65396,0.651564,1595.143
289.5828,85.15454,1.528737,0.677181,0.695047,0.653213,0.655832,0.656199,1543.956
295.6788,89.56967,1.571306,0.682453,0.700151,0.653629,0.65272,0.65618,1558.56
