Depth (mbsf),GR,Vp,RES,RHOB
30.1752,67.70537,1492.354,1.105642,1.724947
30.3276,69.1678,1492.354,1.140442,1.748043
30.48,70.4858,1492.354,1.110602,1.765645
30.6324,69.57921,1498.028,1.08222,1.77977
30.7848,66.94309,1492.354,1.070863,1.759065
30.9372,66.11218,1495.186,1.0791,1.743717
31.0896,67.92152,1495.186,1.070247,1.736874
31.242,68.98083,1495.186,1.057291,1.735021
31.3944,68.22869,1492.354,1.06874,1.73637
31.5468,69.88371,1495.186,1.080426,1.740825
31.6992,70.2566,1498.028,1.084957,1.750265
31.8516,71.23783,1495.186,1.093181,1.756922
32.004,68.52311,1498.028,1.124068,1.747763
32.1564,69.65479,1502.313,1.085748,1.738859
32.3088,68.075,1502.313,1.171663,1.74391
32.4612,68.07835,1502.313,1.132432,1.772817
32.6136,64.61785,1508.063,1.124945,1.777706
32.766,66.27287,1510.955,1.208478,1.799229
32.9184,68.0815,1510.955,1.244522,1.822767
33.0708,71.01187,1510.955,1.244588,1.79836
33.2232,68.37888,1513.858,1.228167,1.815955
33.3756,65.51427,1513.858,1.391587,1.825885
33.528,63.3304,1513.858,1.133915,1.834079
33.6804,68.59268,1510.955,1.135125,1.821124
33.8328,70.25365,1499.454,1.149783,1.813081
33.9852,72.51629,1502.313,1.140626,1.806255
34.1376,68.22581,1502.313,1.13056,1.809649
34.29,67.32307,1505.182,1.11335,1.799996
34.4424,67.32308,1505.182,1.097735,1.809956
34.5948,70.03743,1505.182,1.11602,1.809004
34.7472,71.08424,1502.313,1.1401,1.806782
34.8996,71.83652,1505.182,1.14995,1.794278
35.052,70.55765,1505.182,1.123994,1.79508
35.2044,68.75262,1505.182,1.148898,1.796555
35.3568,70.70855,1505.182,1.152609,1.811188
35.5092,70.40121,1505.182,1.132892,1.825381
35.6616,71.75497,1508.063,1.084744,1.806158
35.814,68.28831,1508.063,1.145613,1.772735
35.9664,69.34793,1508.063,1.173227,1.776029
36.1188,67.84966,1510.955,1.238188,1.793178
36.2712,66.80263,1510.955,1.142591,1.814058
36.4236,64.99715,1505.182,1.088938,1.838679
36.576,66.35126,1500.882,1.05351,1.776179
36.7284,68.15008,1495.186,1.033203,1.7207
36.8808,66.63934,1495.186,1.022975,1.703632
37.0332,65.88706,1502.313,1.083178,1.686137
37.1856,64.69007,1502.313,1.123751,1.598417
37.338,64.91872,1502.313,1.102972,1.579703
