Depth (mbsf),GR,RHOB,RES,Vp
30.1752,67.70537,1.724947,1.105642,1492.354
30.3276,69.1678,1.748043,1.140442,1492.354
30.48,70.4858,1.765645,1.110602,1492.354
30.6324,69.57921,1.77977,1.08222,1498.028
30.7848,66.94309,1.759065,1.070863,1492.354
30.9372,66.11218,1.743717,1.0791,1495.186
31.0896,67.92152,1.736874,1.070247,1495.186
31.242,68.98083,1.735021,1.057291,1495.186
31.3944,68.22869,1.73637,1.06874,1492.354
31.5468,69.88371,1.740825,1.080426,1495.186
31.6992,70.2566,1.750265,1.084957,1498.028
31.8516,71.23783,1.756922,1.093181,1495.186
32.004,68.52311,1.747763,1.124068,1498.028
32.1564,69.65479,1.738859,1.085748,1502.313
32.3088,68.075,1.74391,1.171663,1502.313
32.4612,68.07835,1.772817,1.132432,1502.313
32.6136,64.61785,1.777706,1.124945,1508.063
32.766,66.27287,1.799229,1.208478,1510.955
32.9184,68.0815,1.822767,1.244522,1510.955
33.0708,71.01187,1.79836,1.244588,1510.955
33.2232,68.37888,1.815955,1.228167,1513.858
33.3756,65.51427,1.825885,1.391587,1513.858
33.528,63.3304,1.834079,1.133915,1513.858
33.6804,68.59268,1.821124,1.135125,1510.955
33.8328,70.25365,1.813081,1.149783,1499.454
33.9852,72.51629,1.806255,1.140626,1502.313
34.1376,68.22581,1.809649,1.13056,1502.313
34.29,67.32307,1.799996,1.11335,1505.182
34.4424,67.32308,1.809956,1.097735,1505.182
34.5948,70.03743,1.809004,1.11602,1505.182
34.7472,71.08424,1.806782,1.1401,1502.313
34.8996,71.83652,1.794278,1.14995,1505.182
35.052,70.55765,1.79508,1.123994,1505.182
35.2044,68.75262,1.796555,1.148898,1505.182
35.3568,70.70855,1.811188,1.152609,1505.182
35.5092,70.40121,1.825381,1.132892,1505.182
35.6616,71.75497,1.806158,1.084744,1508.063
35.814,68.28831,1.772735,1.145613,1508.063
35.9664,69.34793,1.776029,1.173227,1508.063
36.1188,67.84966,1.793178,1.238188,1510.955
36.2712,66.80263,1.814058,1.142591,1510.955
36.4236,64.99715,1.838679,1.088938,1505.182
36.576,66.35126,1.776179,1.05351,1500.882
36.7284,68.15008,1.7207,1.033203,1495.186
36.8808,66.63934,1.703632,1.022975,1495.186
37.0332,65.88706,1.686137,1.083178,1502.313
37.1856,64.69007,1.598417,1.123751,1502.313
37.338,64.91872,1.579703,1.102972,1502.313
37.4904,65.06279,1.591389,1.093674,1502.313
37.6428,65.20685,1.659011,1.100579,1502.313
37.7952,65.88071,1.667107,1.104935,1502.313
37.9476,65.27904,1.705715,1.12509,1502.313
38.1,64.67736,1.724541,1.147587,1502.313
38.2524,64.38284,1.727264,1.137217,1505.182
38.4048,66.19456,1.727264,1.127008,1505.182
38.5572,68.00627,1.727264,1.146083,1505.182
38.7096,69.65783,1.727264,1.151567,1508.063
38.862,70.55365,1.739472,1.172324,1508.063
