Depth (mbsf),GR,RHOB,A16L,A40L,P16H,P28H,P40H,Vp
30.1752,67.70537,1.724947,0.994231,1.010433,0.942473,0.948567,0.946814,1492.354
30.3276,69.1678,1.748043,0.996194,1.021899,0.942886,0.94726,0.949268,1492.354
30.48,70.4858,1.765645,0.992314,1.016571,0.982506,0.993542,1.000009,1492.354
30.6324,69.57921,1.77977,0.993441,1.015948,1.008721,1.024381,1.031681,1498.028
30.7848,66.94309,1.759065,0.98922,1.019473,0.962301,0.971296,0.97415,1492.354
30.9372,66.11218,1.743717,0.983035,1.020113,0.943215,0.945648,0.944817,1495.186
31.0896,67.92152,1.736874,0.984303,1.029023,0.941436,0.950014,0.950619,1495.186
31.242,68.98083,1.735021,0.982364,1.021049,0.947452,0.954739,0.957007,1495.186
31.3944,68.22869,1.73637,0.997188,1.020086,0.945877,0.953538,0.956645,1492.354
31.5468,69.88371,1.740825,0.984545,1.02566,0.945885,0.953952,0.958331,1495.186
31.6992,70.2566,1.750265,0.991211,1.032573,0.966473,0.972458,0.975999,1498.028
31.8516,71.23783,1.756922,0.996126,1.042523,0.963143,0.970208,0.970391,1495.186
32.004,68.52311,1.747763,1.012978,1.045591,0.963566,0.972615,0.969714,1498.028
32.1564,69.65479,1.738859,1.012271,1.061059,0.984221,0.98834,0.992555,1502.313
32.3088,68.075,1.74391,1.026155,1.071951,0.986973,0.992648,0.994049,1502.313
32.4612,68.07835,1.772817,1.042461,1.072584,1.019023,1.028841,1.035151,1502.313
32.6136,64.61785,1.777706,1.046844,1.085051,1.039828,1.052228,1.054493,1508.063
32.766,66.27287,1.799229,1.066796,1.077852,1.011594,1.022704,1.024015,1510.955
32.9184,68.0815,1.822767,1.076958,1.093398,1.019438,1.021677,1.019989,1510.955
33.0708,71.01187,1.79836,1.091051,1.101692,1.05941,1.062892,1.066158,1510.955
33.2232,68.37888,1.815955,1.097811,1.10209,1.101212,1.107568,1.115074,1513.858
33.3756,65.51427,1.825885,1.099928,1.108363,1.100729,1.108695,1.118353,1513.858
33.528,63.3304,1.834079,1.086981,1.105502,1.070393,1.082511,1.093443,1513.858
33.6804,68.59268,1.821124,1.070501,1.113057,1.058495,1.070322,1.069641,1510.955
33.8328,70.25365,1.813081,1.081765,1.095667,1.023965,1.033176,1.031746,1499.454
33.9852,72.51629,1.806255,1.062315,1.103316,0.999587,1.005404,1.009954,1502.313
34.1376,68.22581,1.809649,1.049055,1.094223,0.992569,0.999234,1.005514,1502.313
34.29,67.32307,1.799996,1.052641,1.094651,0.99956,1.005342,1.011518,1505.182
34.4424,67.32308,1.809956,1.037547,1.076462,0.988449,0.99919,1.004942,1505.182
34.5948,70.03743,1.809004,1.032544,1.072527,0.968905,0.977673,0.97784,1505.182
34.7472,71.08424,1.806782,1.032544,1.072527,0.968905,0.977673,0.97784,1502.313
34.8996,71.83652,1.794278,1.02545,1.080003,0.980417,0.985006,0.984638,1505.182
35.052,70.55765,1.79508,1.03394,1.075755,0.99621,1.004768,1.010393,1505.182
35.2044,68.75262,1.796555,1.03394,1.075755,0.99621,1.004768,1.010393,1505.182
35.3568,70.70855,1.811188,1.01848,1.080315,0.991676,0.999585,1.012612,1505.182
35.5092,70.40121,1.825381,1.032227,1.070186,0.981603,0.998417,1.009628,1505.182
35.6616,71.75497,1.806158,1.047047,1.086437,0.983729,0.999373,1.001458,1508.063
35.814,68.28831,1.772735,1.053995,1.087015,0.997561,1.009496,1.016161,1508.063
35.9664,69.34793,1.776029,1.066809,1.099958,1.02124,1.038859,1.046639,1508.063
36.1188,67.84966,1.793178,1.064731,1.088904,1.034476,1.055008,1.062943,1510.955
36.2712,66.80263,1.814058,1.073055,1.085233,1.055032,1.077599,1.09296,1510.955
36.4236,64.99715,1.838679,1.074544,1.093775,1.055438,1.078747,1.095514,1505.182
36.576,66.35126,1.776179,1.074544,1.093775,1.055438,1.078747,1.095514,1500.882
36.7284,68.15008,1.7207,1.074544,1.093775,1.055438,1.078747,1.095514,1495.186
36.8808,66.63934,1.703632,1.074544,1.093775,1.055438,1.078747,1.095514,1495.186
37.0332,65.88706,1.686137,1.074544,1.093775,1.055438,1.078747,1.095514,1502.313
37.1856,64.69007,1.598417,1.049425,1.088917,0.986735,0.998783,1.003384,1502.313
37.338,64.91872,1.579703,1.03669,1.090416,0.989726,1.0031,1.005797,1502.313
37.4904,65.06279,1.591389,1.030177,1.091039,0.981733,0.996781,0.99788,1502.313
37.6428,65.20685,1.659011,1.031226,1.086165,0.986597,0.999991,1.007012,1502.313
37.7952,65.88071,1.667107,1.033046,1.0933,0.989155,1.001112,1.003898,1502.313
