Depth (mbsf),GR,Vp,RES,RHOB
29.4132,63.19168,1515.315,1.031683,1.672579
29.5656,67.93105,1520.989,1.029895,1.672579
29.718,67.27686,1524.922,1.013203,1.684926
29.8704,66.82033,1526.727,1.062908,1.701767
30.0228,64.11211,1527.292,1.036395,1.747156
30.1752,63.63789,1527.48,1.021954,1.758687
30.3276,64.54578,1528.472,1.068265,1.801337
30.48,64.54578,1530.06,1.070187,1.781137
30.6324,64.54578,1537.327,1.086917,1.815026
30.7848,66.20081,1543.142,1.076643,1.79553
30.9372,65.6742,1545.593,1.067821,1.799257
31.0896,68.83379,1546.034,1.06893,1.777074
31.242,69.28516,1545.837,1.088598,1.786676
31.3944,75.14623,1547.66,1.102603,1.795689
31.5468,70.77793,1552.038,1.08487,1.819651
31.6992,71.30453,1553.208,1.080746,1.800524
31.8516,67.62505,1545.51,1.108653,1.791906
32.004,72.96492,1540.543,1.086842,1.789687
32.1564,70.7833,1541.779,1.145157,1.793384
32.3088,72.13431,1546.098,1.108643,1.791047
32.4612,69.65819,1546.321,1.11381,1.817962
32.6136,70.86185,1544.891,1.065201,1.811037
32.766,70.71449,1541.641,1.031303,1.819758
32.9184,70.41061,1540.3,1.033818,1.79961
33.0708,72.20924,1540.083,1.053464,1.808137
33.2232,70.17498,1540.206,1.07045,1.785948
33.3756,69.12475,1539.827,1.071941,1.796298
33.528,63.10206,1540.377,1.091371,1.782855
33.6804,64.37724,1540.213,1.084093,1.813362
33.8328,65.58089,1539.33,1.025709,1.812124
33.9852,70.25632,1540.182,1.006287,1.811647
34.1376,68.60811,1541.268,1.076558,1.79535
34.29,63.93847,1542.296,1.11584,1.787654
34.4424,65.28542,1541.79,1.161489,1.76441
34.5948,66.0377,1540.4,1.143106,1.776681
34.7472,73.70906,1538.746,1.148402,1.775081
34.8996,73.41529,1540.02,1.132891,1.761964
35.052,75.22077,1542.788,1.159321,1.777663
35.2044,73.42271,1547.277,1.153881,1.791413
35.3568,73.64839,1554.088,1.157969,1.809771
35.5092,67.47968,1557.831,1.194051,1.806893
35.6616,67.17877,1556.443,1.186801,1.802461
35.814,63.10983,1553.886,1.078885,1.775973
35.9664,64.60853,1554.348,1.003635,1.785418
36.1188,65.20332,1554.237,1.104704,1.767292
36.2712,65.88699,1553.879,1.056985,1.781285
36.4236,66.66614,1553.237,1.05844,1.745401
36.576,64.64201,1552.801,1.044787,1.770582
36.7284,67.12454,1552.299,1.105056,1.758636
36.8808,68.05423,1552.608,1.118703,1.773932
37.0332,68.20154,1552.882,1.133538,1.771722
37.1856,66.62175,1553.198,1.156407,1.772716
37.338,67.40131,1553.978,1.107082,1.766676
37.4904,67.92779,1553.797,1.15618,1.784786
37.6428,69.27506,1554.725,1.206479,1.775098
37.7952,69.12131,1556.349,1.125521,1.778591
37.9476,71.23096,1555.625,1.193682,1.755671
38.1,70.86166,1554.794,1.109725,1.746771
38.2524,72.58832,1556.578,1.125669,1.745107
38.4048,75.43906,1559.955,1.167451,1.766156
38.5572,76.26297,1561.971,1.161618,1.79548
38.7096,77.62395,1563.065,1.103797,1.819717
38.862,72.51638,1559.865,1.043458,1.841807
39.0144,72.21906,1554.665,1.14448,1.807014
39.1668,68.15673,1550.383,1.126133,1.80279
39.3192,68.00628,1548.424,1.08604,1.784392
39.4716,68.14291,1547.944,1.105507,1.791156
39.624,72.04758,1547.523,1.120314,1.7605
39.7764,71.59621,1548.696,1.13161,1.772909
39.9288,71.7605,1552.348,1.132359,1.764249
40.0812,69.6613,1556.158,1.101102,1.807845
40.2336,70.70773,1555.426,1.118461,1.791319
40.386,67.54813,1552.879,1.118838,1.807768
40.5384,68.29709,1550.982,1.099076,1.783147
40.6908,67.545,1548.388,1.10871,1.785511
40.8432,70.40367,1548.142,1.156598,1.775486
40.9956,69.20335,1553.782,1.100013,1.788314
41.148,70.18107,1560.004,1.158218,1.817157
41.3004,67.92422,1562.538,1.182963,1.818297
41.4528,67.76726,1564.133,1.309344,1.837179
41.6052,67.69546,1564.437,1.113132,1.839181
41.7576,68.29728,1564.409,1.163551,1.841252
41.91,68.45425,1562.609,1.112175,1.836303
42.0624,66.50171,1559.508,1.111982,1.820538
42.2148,65.59273,1556.182,1.155131,1.829492
42.3672,65.13807,1553.249,1.145271,1.797371
42.5196,66.49218,1552.386,1.181442,1.789816
42.672,67.10024,1555.565,1.185564,1.781127
42.8244,67.10354,1558.486,1.082128,1.786201
42.9768,66.05035,1559.844,1.082835,1.785005
43.1292,65.18202,1561.382,0.934901,1.794499
43.2816,64.42974,1561.587,1.105494,1.817567
