Depth (mbsf),GR,RHOB,RES,Vp
29.4132,63.19168,1.672579,1.031683,1515.315
29.5656,67.93105,1.672579,1.029895,1520.989
29.718,67.27686,1.684926,1.013203,1524.922
29.8704,66.82033,1.701767,1.062908,1526.727
30.0228,64.11211,1.747156,1.036395,1527.292
30.1752,63.63789,1.758687,1.021954,1527.48
30.3276,64.54578,1.801337,1.068265,1528.472
30.48,64.54578,1.781137,1.070187,1530.06
30.6324,64.54578,1.815026,1.086917,1537.327
30.7848,66.20081,1.79553,1.076643,1543.142
30.9372,65.6742,1.799257,1.067821,1545.593
31.0896,68.83379,1.777074,1.06893,1546.034
31.242,69.28516,1.786676,1.088598,1545.837
31.3944,75.14623,1.795689,1.102603,1547.66
31.5468,70.77793,1.819651,1.08487,1552.038
31.6992,71.30453,1.800524,1.080746,1553.208
31.8516,67.62505,1.791906,1.108653,1545.51
32.004,72.96492,1.789687,1.086842,1540.543
32.1564,70.7833,1.793384,1.145157,1541.779
32.3088,72.13431,1.791047,1.108643,1546.098
32.4612,69.65819,1.817962,1.11381,1546.321
32.6136,70.86185,1.811037,1.065201,1544.891
32.766,70.71449,1.819758,1.031303,1541.641
32.9184,70.41061,1.79961,1.033818,1540.3
33.0708,72.20924,1.808137,1.053464,1540.083
33.2232,70.17498,1.785948,1.07045,1540.206
33.3756,69.12475,1.796298,1.071941,1539.827
33.528,63.10206,1.782855,1.091371,1540.377
33.6804,64.37724,1.813362,1.084093,1540.213
33.8328,65.58089,1.812124,1.025709,1539.33
33.9852,70.25632,1.811647,1.006287,1540.182
34.1376,68.60811,1.79535,1.076558,1541.268
34.29,63.93847,1.787654,1.11584,1542.296
34.4424,65.28542,1.76441,1.161489,1541.79
34.5948,66.0377,1.776681,1.143106,1540.4
34.7472,73.70906,1.775081,1.148402,1538.746
34.8996,73.41529,1.761964,1.132891,1540.02
35.052,75.22077,1.777663,1.159321,1542.788
35.2044,73.42271,1.791413,1.153881,1547.277
35.3568,73.64839,1.809771,1.157969,1554.088
35.5092,67.47968,1.806893,1.194051,1557.831
35.6616,67.17877,1.802461,1.186801,1556.443
35.814,63.10983,1.775973,1.078885,1553.886
35.9664,64.60853,1.785418,1.003635,1554.348
36.1188,65.20332,1.767292,1.104704,1554.237
36.2712,65.88699,1.781285,1.056985,1553.879
36.4236,66.66614,1.745401,1.05844,1553.237
36.576,64.64201,1.770582,1.044787,1552.801
36.7284,67.12454,1.758636,1.105056,1552.299
36.8808,68.05423,1.773932,1.118703,1552.608
37.0332,68.20154,1.771722,1.133538,1552.882
37.1856,66.62175,1.772716,1.156407,1553.198
37.338,67.40131,1.766676,1.107082,1553.978
37.4904,67.92779,1.784786,1.15618,1553.797
37.6428,69.27506,1.775098,1.206479,1554.725
37.7952,69.12131,1.778591,1.125521,1556.349
37.9476,71.23096,1.755671,1.193682,1555.625
38.1,70.86166,1.746771,1.109725,1554.794
38.2524,72.58832,1.745107,1.125669,1556.578
38.4048,75.43906,1.766156,1.167451,1559.955
38.5572,76.26297,1.79548,1.161618,1561.971
38.7096,77.62395,1.819717,1.103797,1563.065
38.862,72.51638,1.841807,1.043458,1559.865
39.0144,72.21906,1.807014,1.14448,1554.665
39.1668,68.15673,1.80279,1.126133,1550.383
39.3192,68.00628,1.784392,1.08604,1548.424
39.4716,68.14291,1.791156,1.105507,1547.944
39.624,72.04758,1.7605,1.120314,1547.523
39.7764,71.59621,1.772909,1.13161,1548.696
39.9288,71.7605,1.764249,1.132359,1552.348
40.0812,69.6613,1.807845,1.101102,1556.158
40.2336,70.70773,1.791319,1.118461,1555.426
40.386,67.54813,1.807768,1.118838,1552.879
40.5384,68.29709,1.783147,1.099076,1550.982
40.6908,67.545,1.785511,1.10871,1548.388
40.8432,70.40367,1.775486,1.156598,1548.142
