GR,RHOB,A16L,A40L,P16H,P28H,P40H,Vp
63.19168,1.672579,0.999583,1.027397,0.944528,0.944992,0.947443,1528.504
67.93105,1.672579,1.007144,1.03632,0.96185,0.967833,0.973511,1499.809
67.27686,1.684926,1.013411,1.03124,0.969314,0.974627,0.979959,1579.881
66.82033,1.701767,1.023286,1.041372,0.977089,0.986039,0.993594,1542.737
64.11211,1.747156,1.027253,1.049154,0.978878,0.988504,0.997507,1578.673
63.63789,1.758687,1.032833,1.059479,0.985729,0.995962,1.00253,1540.672
64.54578,1.801337,1.04758,1.064827,1.004299,1.011074,1.018542,1593.951
64.54578,1.781137,1.046103,1.068635,1.002146,1.010735,1.019575,1568.56
64.54578,1.815026,1.066223,1.075892,1.010173,1.018007,1.026023,1571.594
66.20081,1.79553,1.063713,1.082521,1.027938,1.036351,1.045518,1574.161
65.6742,1.799257,1.075915,1.094349,1.017991,1.030348,1.033468,1567.686
68.83379,1.777074,1.082989,1.098432,1.025164,1.035768,1.038099,1564.081
69.28516,1.786676,1.089133,1.09696,1.036054,1.041304,1.043885,1541.431
75.14623,1.795689,1.097759,1.103545,1.067819,1.074059,1.0812,1563.449
70.77793,1.819651,1.09471,1.101998,1.046558,1.050678,1.053012,1536.09
71.30453,1.800524,1.094985,1.105019,1.068753,1.076049,1.084757,1550.186
67.62505,1.791906,1.088974,1.10273,1.056972,1.061721,1.063311,1552.345
72.96492,1.789687,1.093193,1.103401,1.046857,1.051653,1.057537,1570.172
70.7833,1.793384,1.080868,1.094807,1.051488,1.057619,1.068121,1592.453
72.13431,1.791047,1.079197,1.086224,1.032057,1.040063,1.052822,1606.769
69.65819,1.817962,1.077361,1.094208,1.016924,1.030316,1.04188,1580.128
70.86185,1.811037,1.060363,1.082117,1.010185,1.024051,1.035852,1564.049
70.71449,1.819758,1.063944,1.081135,0.989577,1.000427,1.007112,1565.243
70.41061,1.79961,1.068497,1.079408,0.980208,0.98911,0.995588,1540.253
72.20924,1.808137,1.059845,1.076531,0.995889,1.001017,1.006837,1581.226
70.17498,1.785948,1.053762,1.080206,1.015285,1.025786,1.037338,1553.45
69.12475,1.796298,1.045968,1.071542,1.005934,1.015047,1.026102,1593.804
63.10206,1.782855,1.044865,1.07962,0.99382,1.001878,1.013587,1561.916
64.37724,1.813362,1.043693,1.075587,0.990475,0.999686,1.009555,1503.026
65.58089,1.812124,1.044936,1.08127,0.98756,0.997148,1.00796,1532.169
70.25632,1.811647,1.045897,1.075982,0.986044,0.995158,1.000689,1507.21
68.60811,1.79535,1.055744,1.085696,0.983326,0.989637,0.993018,1541.501
63.93847,1.787654,1.06199,1.087477,0.993482,0.996608,1.000611,1570.936
65.28542,1.76441,1.071534,1.088077,1.0225,1.025061,1.033864,1544.582
66.0377,1.776681,1.084415,1.092646,1.040304,1.04902,1.06048,1540.296
73.70906,1.775081,1.088989,1.100985,1.052335,1.059909,1.068753,1555.81
73.41529,1.761964,1.103781,1.111893,1.066913,1.075301,1.079034,1568.928
75.22077,1.777663,1.117163,1.125677,1.076688,1.08452,1.094174,1568.676
73.42271,1.791413,1.106799,1.112671,1.069655,1.079429,1.085557,1552.197
73.64839,1.809771,1.131498,1.136599,1.080912,1.090908,1.102876,1491.643
67.47968,1.806893,1.135122,1.138139,1.080833,1.095118,1.107672,1525.91
67.17877,1.802461,1.132496,1.159102,1.079363,1.085391,1.094414,1579.28
63.10983,1.775973,1.141617,1.149668,1.080504,1.087415,1.096179,1560.276
64.60853,1.785418,1.142593,1.154851,1.073119,1.090282,1.099554,1529.405
65.20332,1.767292,1.14032,1.157017,1.086493,1.100285,1.104357,1567.753
65.88699,1.781285,1.14128,1.158727,1.104768,1.111141,1.115374,1539.141
66.66614,1.745401,1.140808,1.159749,1.086734,1.098082,1.103195,1524.553
64.64201,1.770582,1.138037,1.155333,1.096208,1.104005,1.116523,1503.713
